phase,mode,varh,valh,restart,restartsequence,geocoef,Objective,ElapsedTime,Fraction
Probe,BayesianOptimisation,Wdeg,Vals,luby,500,1.2,70000,0.746,18.0
Probe,BayesianOptimisation,Wdeg,Vals,luby,200,2.0,70000,0.756,18.0
Probe,BayesianOptimisation,Wdeg,Vals,luby,200,1.5,70000,0.765,18.0
Probe,BayesianOptimisation,Wdeg,AsgsFp,GEOMETRIC,500,1.5,70000,0.766,18.0
Result,BayesianOptimisation,Wdeg,Vals,luby,500,1.2,70000,0.772,660.0
Probe,BayesianOptimisation,Wdeg,AsgsFp,luby,500,1.2,70000,0.775,18.0
Probe,BayesianOptimisation,Wdeg,AsgsFp,GEOMETRIC,200,1.2,70000,0.78,18.0
Probe,BayesianOptimisation,Wdeg,OccsR,GEOMETRIC,100,1.5,70000,0.785,18.0
Probe,BayesianOptimisation,Wdeg,AsgsFp,luby,100,2.0,70000,0.787,18.0
Probe,BayesianOptimisation,Wdeg,Vals,GEOMETRIC,100,1.5,70000,0.789,18.0
Probe,BayesianOptimisation,Wdeg,Vals,GEOMETRIC,100,2.0,70000,0.791,18.0
Probe,BayesianOptimisation,Wdeg,OccsR,GEOMETRIC,500,2.0,70000,0.791,18.0
Probe,BayesianOptimisation,Wdeg,Bivs3,GEOMETRIC,500,1.2,70000,0.792,18.0
Probe,BayesianOptimisation,Wdeg,AsgsFp,luby,200,2.0,70000,0.794,18.0
Probe,BayesianOptimisation,Wdeg,OccsR,luby,500,1.5,70000,0.8,18.0
Probe,BayesianOptimisation,Wdeg,OccsR,luby,200,2.0,70000,0.801,18.0
Probe,BayesianOptimisation,Wdeg,Bivs3,GEOMETRIC,200,1.2,70000,0.802,18.0
Probe,BayesianOptimisation,Wdeg,OccsR,luby,100,1.2,70000,0.805,18.0
Probe,BayesianOptimisation,Wdeg,Bivs3,GEOMETRIC,500,2.0,70000,0.808,18.0
Probe,BayesianOptimisation,Wdeg,Bivs3,luby,100,1.5,70000,0.817,18.0
Probe,BayesianOptimisation,Wdeg,Dist,GEOMETRIC,100,1.2,70000,0.818,18.0
Probe,BayesianOptimisation,Wdeg,Dist,GEOMETRIC,200,2.0,70000,0.819,18.0
Probe,BayesianOptimisation,Wdeg,Dist,GEOMETRIC,500,1.5,70000,0.827,18.0
Probe,BayesianOptimisation,Wdeg,Bivs3,luby,200,1.5,70000,0.827,18.0
Probe,BayesianOptimisation,Wdeg,Dist,luby,100,1.5,70000,0.831,18.0
Probe,BayesianOptimisation,Wdeg,Dist,luby,500,1.2,70000,0.866,18.0
Probe,BayesianOptimisation,Wdeg,Median,luby,500,2.0,70000,0.966,18.0
Probe,BayesianOptimisation,Wdeg,Median,GEOMETRIC,100,2.0,70000,0.973,18.0
Probe,BayesianOptimisation,Wdeg,Median,GEOMETRIC,200,1.5,70000,0.98,18.0
Probe,BayesianOptimisation,Wdeg,Median,GEOMETRIC,100,1.2,70000,0.985,18.0
Probe,BayesianOptimisation,Wdeg,Median,luby,200,1.2,70000,1.034,18.0
